Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
FFTL3   25.00   53.22      2.26    3.410      0.00    1.508      23.71      20.90      -15.54      20.55       20.55   0.1632      0.0816      1.37    0.0891      0.0424 0.00   
FFTL4   25.06   53.34      2.26    3.418      0.00    1.512      23.77      20.95      -15.58      20.60       20.60   0.1632      0.0816      1.37    0.0891      0.0424 0.00   
SULA4   7.63    53.73      1.17    0.444      0.0026  0.323      0.88       -13.45     -4.73       6.24        8.02    -0.033      0.0083      2.29    -0.0562     0.0217 0.00   
BSEV3   9.00    56.31      -10.76  0.889      0.00    0.776      -1.59      4.40       -1.02       7.59        3.70    0.2019      0.0158      0.39    0.2066      -0.1912 0.00   
APER3   42.92   56.70      1.76    2.832      0.0075  1.024      -47.10     14.13      -4.81       13.94       10.06   0.2004      0.0496      0.90    0.0796      0.031 4710220.00
CEGR3   85.00   57.30      15.75   3.753      0.012   4.909      -225.52    21.38      -11.81      22.10       22.10   0.1755      0.0655      0.93    0.2899      0.2748 0.00   
GVTT3   57.70   57.38      3.68    4.312      0.00    2.268      21.82      25.92      -18.43      26.65       26.65   0.1664      0.0752      1.66    0.1032      0.0642 0.00   
PETZ3   4.03    58.18      1.03    0.593      0.0069  0.469      2.88       10.10      -2.32       10.02       3.71    0.0587      0.0102      1.90    0.0583      0.0178 48974000.00
ENEV3   12.35   58.98      1.51    2.021      0.00    0.400      11.12      8.71       -0.87       15.87       9.31    0.232       0.0362      1.18    0.0564      0.0256 107163000.00
AEDU3   18.35   59.34      3.32    4.141      0.00    2.159      17.00      41.06      -21.55      43.27       29.01   0.1008      0.0698      2.04    0.0577      0.056 0.00   
ENAT3   15.63   60.08      1.07    2.566      0.0096  0.509      4.01       10.39      -2.19       11.98       5.61    0.247       0.0427      1.77    0.0703      0.0178 27664400.00
ELET5   85.00   61.25      1.73    5.565      0.00    0.708      7.23       18.69      -1.86       22.42       16.69   0.2978      0.0858      1.88    0.0433      0.0283 850.00 
SUBA3   84.00   61.95      8.39    8.067      0.00    6.778      8.03       115.78     8.09        106.17      106.17  0.0697      0.1302      5.55    0.1911      0.1354 0.00   
CSAB3   34.00   65.13      1.23    348.160    0.0177  0.631      0.00       21.02      0.00        0.00        0.00    16.5627     5.3453      0.00    0.00        0.0189 253.75 
IGTA3   33.13   69.21      1.89    5.542      0.00    0.971      82.03      11.07      -3.67       13.41       10.26   0.5004      0.0851      1.06    0.1056      0.0273 0.00   
DAGB33  375.00  71.75      1.60    0.640      0.00    0.510      15.24      11.87      -1.27       19.35       30.65   0.0539      0.0167      1.17    0.0496      0.0224 0.00   
CTPC3   0.20    76.36      1.08    0.000      0.00    0.097      0.00       -16.86     0.00        -18.75      -18.75  0.00        0.00        0.00    0.00        0.0141 0.00   
NINJ3   4.56    77.52      0.81    3.811      0.00    0.761      0.86       -8.56      0.87        1.66        1.81    -0.4453     0.0492      16.07   -1.3111     0.0105 4893560.00
DTCY3   5.00    81.73      -33.63  7.094      0.00    7.919      -41.75     -19.07     -8.06       -19.28      -93.47  -0.372      0.0868      0.57    -0.4504     -0.4115 72.40  
ROMI4   185.00  82.14      14.47   11.923     0.00    7.210      20.69      90.38      64.07       93.10       71.77   0.1319      0.1458      2.31    0.0955      0.1762 0.00   
RLOG3   23.08   82.76      4.26    1.534      0.00    0.229      1.49       5.32       -0.50       12.43       6.68    0.2885      0.0707      2.64    0.0536      0.0515 0.00   
CSAB4   45.00   86.21      1.63    460.800    0.0147  0.836      0.00       27.82      0.00        0.00        0.00    16.5627     5.3453      0.00    0.00        0.0189 1302.40
HGTX3   37.50   101.99     3.57    4.178      0.00    2.480      7.50       105.87     9.93        106.77      42.50   0.0395      0.041       2.47    0.03        0.0351 0.00   
PQUN3   15.44   104.31     1.88    0.545      0.00    0.523      7.57       19.50      -0.97       40.25       40.25   0.028       0.0052      1.61    0.0302      0.0181 0.00   
PQUN4   15.44   104.31     1.88    0.545      0.00    0.523      7.57       19.50      -0.97       40.25       40.25   0.028       0.0052      1.61    0.0302      0.0181 0.00   
IRBR3   48.91   106.93     0.96    0.621      0.00    0.186      0.00       -7.30      0.00        0.00        0.00    -0.0851     0.0058      0.00    0.00        0.009 85013300.00
MEGA3   9.06    109.05     1.11    2.030      0.00    0.314      -2.41      7.54       -0.53       19.12       12.01   0.2693      0.0195      0.48    0.0442      0.0102 10205400.00
